Abbamonte, Peter Michael
Holley, Geralyn Kay
Hollis, Gilbert R
Holscher, Hannah Diane
Hood, Denice Ward
Hood, Stafford
Hook, Sara
Hooker, Joseph Edward
Hoover, Jeffrey P
Hopkins, Lewis D
Horn, Gavin P
Hornbaker, Robert H
Hostetter, Eric R
Hotchkiss, Valerie
Houston, Joseph Brantley
Hovakimyan, Naira
Hoyer, Lois L
Hrnjak, Predrag Stojan
Hsia, K Jimmy
Hsiao, Shih-Hsuan
Hsiao-Wecksler, Elizabeth T
Hu, Yih-Chun
Hua, Yue
Huang, Thomas S
Huang, Wen-Hao
Huber, Steven C
Hubert, Lawrence J
Hubler, Alfred Wilhelm
Hudson, Bradley
Hudson, Matthew
Hudson, Robert J M
Huey, Kimberly A
Hug, Barbara
Hughes, Mary-Alayne
Hughes, Robert
Hughes, Taylor L
Hummel, John W
Hund-Wantland, Anita Rose
Hunter, Richard C
Hurley, Walter L
Hutchings, Bruce L
Hutchins Sperry, Jinelle
Hutchinson, Seth Andrew
Hutjens, Michael F
Hwu, Wen-Mei W
Hymowitz, Theodore
Ikenberry, Stanley O
Imoukhuede, Princess U II
Insana, Michael
Irish, Sharon Lee
Irwin, Michael E
Irwin, Scott H
Israel, Maya
Iyer, Ravishankar K
Jackson, Thomas L
Jacobi, Anthony M
Jacobs, Gilbert J
Jacobs, Ronald Lynn
Jacobson, Sheldon Howard
Jan, Yih-Kuen
Jarrell, Wesley M
Jarrett, Robin L
Jasiuk, Iwona M
Jenkins, Christine A
Jenkins, Jeffrey Eric
Jin, Yong-Su
Johnson, Brian K
Johnson, Harley T
Johnson, Janeen Lyn
Johnson, Ralph E
Johnson, Rodney W
Johnson, Timothy C
Johnson-Walker, Yvette Joyce
Johnston, Philip T
Jones, Barclay G
Jones, Robert L
Jongeneel, Cornelis Victor
Joslyn, Stephen
Jurczyk, Brian Edward
Jurgens, Patricia M
Juvik, John A
Kaganovsky, Lilya
Kahn, Charles M
Kalantzis, Mary
Kalata, Erica Dawn
Kale, Laxmikant V
Kaler, Robin Neal
Kalita, Prasanta Kumar
Kamin, Samuel N
Kaminski, Michael David
Kannan, Srinivasan
Kansler, Jeffrey Charles
Kao, Tsung-Chung
Kaplan, Richard N
Kapp, Paul Hardin
Karahalios, Kyratso George
Katz, Lilian G
Kauffman, Harold E
Kaufman, Paula T
Keane, Richard Damien
Kelley, Keith W
Kellman, Julia
Kendall, Lori Sue
Kendrick, Barbara F
Kenis, Paul J A
Kent, Angela D
Kerber, Jane
Kesan, Jay P
Kesler, Darrel J
Keys, Henson Lee
Khachaturian, Jon
Khan, Naiman A
Khan, Saeed Ahmad
Khan, Safdar Ali
Khanna, Chand
Khanna, Madhu
Kidd, Lisa J
Kim, Dongwook
Kim, Harrison Hyung Min
Kim, Hyunjung
Kim, In Tai
Kim, Juhee
Kim, Kyekyoon
Kim, Kyu Jung
Kim, Michael Kyong-il
Kim, Seok
Kim, Seong Whan
Kim, Younghoon
Kinderman, Lisa
King, Judith L
King, William Paul
Kinsel, Michael J
Kirlik, Alex
Kirwan, Barrett E
Kiyavash, Negar
Kline, Kevin Halden
Kling, Gary J
Knapp, Ted
Knight, Bruce Alan
Knight, Michael W
Knobloch, Neil A
Knowles, Patricia K
Knox, Emily Joyce Magdelyn
Knox, Robert Victor
Ko, CheMyong
Koelkebeck, Kenneth W
Koerner, Susan Silverberg
Kokini, Jozef L
Kolb, Frederic L
Kolla, Alexandra
Koloutsou-Vakakis, Sotiria
Konar, Megan
Kong, Hyun Joon
Kong, Wentao
Korban, Schuyler S
Korder, Thomas V
Kovacs, Thomas G
Kovatch, Ronald R
Kowalski, Robert Gerrett
Kozlowski, Tomasz
Kramer, Amit
Kramer, Arthur F
Kramer, Karen
Kramer, Laurie F
Kravets, Robin Hillary
Krepp, Sarah L
Krisher, Rebecca L
Krishnan, Girish
Kronlund, Mathias
Krueger, George John
Krummel, Donald W
Kruty, Paul S
Krylov, Victor
Kubitz, William J
Kuchinke, K Peter
Kuchma, Daniel Alexander
Kuhlenschmidt, Mark S
Kuhlman, Thomas E
Kuhnen, Fernando
Kukekova, Anna V
Kumar, Praveen
Kummerow, Fred A
Kuo, Frances E
Kuper, Kate D
Kushad, Mosbah M
Kuznetsov, Helen
Kwiat, Paul G
Kwon, Soo Ah
Kyritsis, Dimitrios C
La France, Robert G
Labarbera-Twarog, Emily
LaBarre, Kathryn Anne
Labelle, Amber L
Labelle, Philippe
Lafave, James Michael
Lai, Tao
Lakner, Hilda Buckley
Lakonishok, Josef
Lambert, Kris Nicholas
Lambeth, Gregory S
Lambros, John
Lamers, Nicole Alane
Landrum-Brown, Joycelyn
Landry, Blake J
Lane, Morton N
Langan, Jennifer N
Langbort, Cedric
Lange, David A
Langellier, Constance M
Lapunzina, Alejandro
Larson, Reed W
Larson, Richard A
Larson, Susan M
Lascola, Kara M
Lau, Gee
Lauk, Raymond Anthony
Lavalle, Steven M
Lavergne, Sidonie N
Lavey, Warren
Lavigne, Devin
Lawler, John J
Lawrence, Frederick V
Lawrie, Duncan H
Lazebnik, Svetlana
Lazzaretto, Amy
Learmonth, Yvonne
Leckband, Deborah E
Ledford, Charles
Lee, Bumsoo
Lee, Chia-Fon
Lee, DoKyoung
Lee, Ki D
Lee, Soo-Yeun
Lee, William
Lee, Youngsoo
Leggett, Anthony J
Lehovec, Linda M
Lei, Susu
Leigh, Robert G
Leroy, Michael H
Lerum, Vidar
Lesht, Faye L
Leskis, Kathryn Kurlakowsky
Leslie, Lisa Suzanne
Leuthold, Raymond M
Levengood, Jeffrey M
Lewin, Harris A
Lewis, Alisha Lauren
Lezmi, Stephane
Li, Jie
Li, Jun
Li, Junhui
Li, Shixiong
Li, Shiyang
Li, Shuyan
Liang, Zhi-Pei
Liao, Fuyuan
Liebovich, Louis W
Light Shriner, Cheryl L
Lila, Mary Ann
Lim, Sung Jun
Lima de Aguiar, Ludimar
Lin, Yu-Feng
Lindquist, Mary Florence
Linke, Charles M
Litchfield, J Bruce
Littlefield, Melissa Monique
Littlewood, John M
Liu, Cailing
Liu, Gang Logan
Liu, Liang Y
Liu, Wen-Tso
Liu, Yanhong
Liu, Yuanyuan
Liu, Yufei
Lleras, Alejandro
Lleras, Christy L
Lo, Adrienne Shiu-Ming
Lo, Alexander C
Lobdell, Lanny R
Loeb, Jane W
Long, James H
Long, Stephen P
Long, Yvette Nelva
Loor, Juan J
Lopez, Leonard A
Lopez-Pamies, Oscar
Loth, Eric
Loui, Michael C
Lovell, Sarah Taylor
Low, Sabina
Lowe, James F
Lu, Ting
Lu, Wei
Lu, Yi
Lubienski, Christopher
Lubienski, Sarah Theule
Lubotsky, Darren Howard
Lucero, Jorge
Lumetta, Steven Sam
Luo, Yu
Lynge, Morgan J
Lyons, Angela Christine
Ma, Jian
Ma, Jing
MacDougall, Gregory
MacGregor, Nancy A
Mackie, Roderick Ian
Maclay, Howard S
Maddox, Carol W
Magee, Jeffrey S
Mahoney, Megan M
Mahoney, Megan O'Reilly
Maia, Guilherme
Mak, Bonnie
Makela, Julia Panke
Makins, Naomi C R
Mallory, Mindy L
Malnar, Joy Monice
Manouchehri Irani, Rustom Dinyar
Marcinkowski, Matthew Maciej
Marick, Dawn Elaine
Marina, Areli
Marinas, Benito Jose
Marinov, Darko
Markus, Momcilo
Marla, Lavanya
Marretta, Sandra Manfra
Marsh, Charles P
Martell, Verda Beth
Martens, Rainer
Marti, Les A
Martin, Ernest J
Martin, Lovick R
Martocchio, Joseph J
Masiunas, John B
Mason, Nadya
Masud, Arif
Matalon, Moshe
Mateus-Pinilla, Nohra E
Matheson, Jodi S
Matta, Narsimha Reddy
Matthews, Jeffrey Wayne
Mauer, Michael P
May, Andrew Thomas
Mayo, Cris Susan
McAuley, Edward
McBride, Brent A
McBride, Rebecca
McCarthey, Sarah Jane
McCarthy, Cameron R
McChesney, Robert W
McCloskey, Laura Ann
McCollum, Jeanette A
McCowan, Carla J
McCoy, Gene C
McCulley, Michael T
McCusker, Robert H
McDonagh, Deana C
McDonald, Jean A
McDonough, Jerome Patrick
McDowell, Kathleen
McElwain, Nancy L
McFarland, Donald Michael
McFarquhar, Robin
McGlamery, Marshal D
McGreal, Thomas L
McGrew, Robert Wayne
McHenry, Kenton Guadron
McIsaac, Gregory F
McKiernan, Brendan C
McMichael, Maureen
McMillen, Daniel P
McMurry, Sunny Olivia
McNamara, Paul E
McQuillan, Cathleen Sauer
McWorter, Gerald
Meadan-Kaplansky, Hedda
Means, Charlotte
Meawad, Amr
Mechitov, Kirill Alexandrovich
Mehta, Prashant Girdharilal
Mei, Wenyan
Meier, Sandy
Mendenhall, Ruby
Meng, Ling Jian
Merchen, Neal R
Merema, Danielle
Merola, Valentina M
Merritt, Christine S
Meseguer, Jose
Mesri, Gholamreza
Mestre, Jose
Mette, Alan T
Meyer, Eric K
Mickunas, M Dennis
Mies, Emelie Elizabeth Sims
Mikel, Mark A
Miley, George H
Miller, Craig A
Miller, David J
Miller, David W
Miller, Gay Y
Miller, James Robert
Miller, Margret Ellen Berg
Miller, Michael J
Miller, Nolan H
Miller, Suzanne Elizabeth
Miller, Thomas J
Min, Jiyoung
Minear, Roger A
Minor, Heather Hyde
Minor, Vernon H
Minsker, Barbara S
Miraftab, Faranak
Mitchell, J Kent
Mitchell, Mark
Mitchell, Thomas Owen
Mohaghegh Ahmadabadi, Zahra
Molano-Flores, Brenda
Molina, Isabel
Moller, Karla Jean
Moncrief, Diane
Monda-Amaya, Lisa Ellen
Mondal, Paramita
Monson, Jennifer
Monzani, Giovana
Moon, Do Soo
Mooney, Robert T
Moose, Stephen Patrick
Morganosky, Michelle
Morris, Cheryl Lee
Morris, Scott A
Morrisette, Sharon
Morrissette, Jason William
Morrow, Daniel G
Moses, Richard H
Mosley, Jonathon Forrest
Motl, Robert W
Mouschovias, Telemachos Ch
Moyer, Christopher
Mullen, Sean P
Mulvaney, Richard L
Mumm, Rita Hogan
Murphy, Michael R
Murray, Alexander D
Murray, Scott Charles
Myong, Su-A
Nachowicz, Jason P
Nafziger, Emerson D
Nagi, Rakesh
Nahrstedt, Klara
Nakamura, Manabu T
Namachchivaya, Beth Sandore
Namachchivaya, N Sri
Narihiro, Takashi
Nayfeh, Munir H
Nedich, Angelia
Nelson, Charles H
Nelson, Gerald C
Nelson, Mark E
Nelson, Michelle Renee
Nelson, Randall L
Nelson, Richard F
Nerone, John C
Nettl-Fiol, Rebecca C
Nettles, Saundra Rice Murray
Neubauer, Mark
Neumann, Martin John
Neville, Helen A
Newell-Fugate, Anne Elizabeth
Newman, Daniel A
Newman, John K
Nguyen, Thanh Huong
Nicol, David Malcolm
Niermann, Matthew William
Noble, Safiya Umoja
Noel, Gregory R
Noland, Dianne A
Northcraft, Gregory B
Norton, Margaret A
Norvell, Jonathan M
Notaro, Stephen John
Novak, Alice E
Novakofski, Jan E
Nowak, Romana Angelika
O'Brien, David J
O'Brien, Mauria A
O'Brien, Robert T
O'Connor, Terrance R
O'Hara, Marilyn Sue
O'Hara, Todd
O'Saben, Thomas S
Odintsov, Boris M
Oelze, Michael L
Ogolsky, Brian Gabriel
Oh, Sewoong
Oliver, Cynthia
Olshansky, Robert B
Olshevsky, Alexander
Olson, Craig Allen
Olson, Katrina Marie
Olson, Kenneth R
Olson, Luke
Olson, Scott Michael
Oltheten, Elisabeth
Onal, Hayri
Oono, Yoshitsugu
Ort, Donald Richard
Osborne, Margery
Ostrosky, Michaelene
Oswald, Ramona Faith
Otnes, Cornelia C
Ouyang, Yanfeng
Ozer, Hasan
Packard, Jerome L
Padua, David A
Padua, Graciela Wild
Paige, Ken N
Pak, Yoon Kyung
Palmer, Carole
Palumbo, Paul A
Pan, Yuan-Xiang
Panesi, Marco
Pantano-Rubino, Carlos A
Park, Ow Won
Parker, Gary
Parr, Chelsie K
Parrett, Douglas F
Parsons, Carl M
Parsons, Marilyn Anita
Parsons, Michael J
Parthasarathy, Madhusudan
Pataky, Jerald K
